Component,Failure Mode,Repurpose Application,Effectiveness,Notes
Sensor (Optical),Dark Current Increase,Random Noise Generator,Medium,Dark current entropy
Sensor (Optical),Dark Current Increase,Radiation Detector,Medium,Crude dosimeter
Sensor (Optical),Reduced Sensitivity,Binary Light/Dark Detector,Medium,Simple threshold
Sensor (Magnetic),Offset Drift,Relative Change Detector,Medium,Motion or presence sensing
Sensor (Magnetic),Loss of Sensitivity,Threshold Switch,Low,Large-field detection only
Sensor (Chemical),Sensitivity Drift,Relative Indicator,Low,Long-term environmental trend
Sensor (Chemical),Open Circuit,Spacer / Humidity Proxy,Low,Package absorbs moisture
Storage (Flash Memory),Stuck Bits,ROM with Fixed Data,Medium,Firmware stubs; lookup tables
Storage (Flash Memory),Endurance Limit,Append-Only Logging,Medium,Write-limited but readable
Storage (Flash Memory),Endurance Limit,Entropy Source,Medium,Read errors as random data
Storage (EEPROM),Write Failure,Permanent Calibration Storage,Medium,Locked data still readable
Storage (EEPROM),Data Retention Loss,Drift Tracker / Entropy Source,Low,Bit decay as random/trend data
Storage (Hard Drive),Head Crash,Spindle Motor Generator,Medium,Mechanical energy conversion
Storage (Hard Drive),Head Crash,Reflective Optical Element,Low,Platter as mirror/reflector
Storage (Hard Drive),Bad Sectors,Partial Capacity Storage,Medium,Remap around bad sectors
Storage (Hard Drive),Bad Sectors,Entropy Source,Low,Error distribution as random data
Storage (Optical Media),Surface Scratches,Diffraction Element,Medium,Optical calibration grating
Storage (Optical Media),Read Errors,Entropy Source / Calibration Tool,Low,Error patterns as random data
Storage (SD Card),File System Corruption,Raw Block Storage,Medium,Bypass filesystem; append-only
Storage (SD Card),Bad Blocks,Circular Buffer (Partial),Low,Reduced capacity
Storage (SD Card),Bad Blocks,Entropy Source,Low,Block error patterns as random data
Connector (Pin Header),Contact Corrosion,Humidity Sensor,High,40–95% RH; ±5% RH with calibration
Connector (Pin Header),Contact Corrosion,Contamination Detector,Medium,Dendritic growth via resistance change
Connector (Pin Header),Contact Corrosion,Environmental Logger,Medium,Cumulative humidity dosimeter
Connector (Pin Header),Mechanical Wear,Vibration Sensor,Medium,Intermittent contact as vibration switch
Connector (Pin Header),Mechanical Wear,Cycle Counter,Medium,Degradation correlates with mating cycles
Connector (Pin Header),Solder Joint Failure,Thermal Cycling Indicator,Medium,Crack progression = thermal stress history
Connector (Edge),Contact Oxidation,Air Quality Sensor,Medium,Tarnish rate correlates with contaminants
Connector (Edge),Contact Oxidation,Humidity Monitor,Medium,Oxidation rate varies with humidity
Connector (Edge),Mechanical Misalignment,Reduced-Channel Interface,Medium,Use remaining good contacts
Connector (Edge),Fretting Corrosion,Vibration Detector,Medium,Resistance spikes = vibration events
Connector (Edge),Fretting Corrosion,Environmental Stress Logger,Medium,Fretting rate tracks mechanical stress
Connector (Board-to-Wire),Crimp Degradation,Temperature Indicator,Medium,Localized heating at bad crimp
Connector (Board-to-Wire),Crimp Degradation,Vibration-Activated Switch,Medium,Intermittent connection under vibration
Connector (Board-to-Wire),Housing Fatigue,Wire Guide,High,Form factor maintained for wire routing
Connector (Board-to-Wire),Pin Corrosion,Humidity Sensor,Medium,Corrosion resistance = humidity proxy
Relay,Contact Welding,Permanent Jumper,High,Original current rating maintained; 1–30A
Relay,Contact Welding,Electromagnetic Actuator,High,Coil for reed switch; magnetic sensing; coupling
Relay,Contact Welding,Inductance Element,Medium,Coil as inductor; 10–500mH
Relay,Coil Failure (Open),Mechanical Switch,Medium,Manual actuation; 5–50g force required
Relay,Coil Failure (Open),Antenna Coil,Medium,Winding as RF element; 1–100 MHz
Relay,Coil Failure (Open),Spacer / Mount,High,Mechanical form factor preserved
Relay,Contact Erosion,Signal-Level Switch,Medium,Low-current (<10 mA) still clean
Relay,Contact Erosion,Environmental Indicator,Medium,Erosion rate = lifecycle tracker
Relay,Spring Fatigue,Low-Force Switch,Medium,Sensitive to light contact
Relay,Spring Fatigue,Vibration Sensor,Low,Contact chatter under vibration
Switch,Contact Bounce,Noise Source / Entropy,Medium,Bounce for random number generation
Switch,Contact Bounce,Vibration-Activated Trigger,Medium,Degraded contact closes under vibration
Switch,Stuck Closed,Fixed Jumper,High,Permanent connection; rating preserved
Switch,Stuck Open,Spacer / Mount,High,Physical form factor maintained
Switch,Contact Resistance Increase,Pressure-Variable Resistor,Low,Resistance varies with actuation force
Switch,Contact Resistance Increase,Signal-Level Switch,Medium,Low-current still switches
Motor,Brush Wear,Generator,High,Proportional voltage from shaft rotation
Motor,Brush Wear,Tachometer,High,Back-EMF proportional to RPM
Motor,Brush Wear,Vibration Source,Medium,Unbalanced rotor creates vibration
Motor,Brush Wear,Noise Source,Medium,Brush arcing as entropy
Motor,Winding Open,Inductor / Choke,Medium,Intact windings; mH range
Motor,Winding Open,Mechanical Bearing Assembly,High,Shaft and bearings for mechanical use
Motor,Winding Short,Heating Element,Medium,Resistive heating from shorted turns
Motor,Winding Short,Electromagnetic Actuator,Medium,Intact winding(s) for field generation
Motor,Bearing Failure,Low-Speed Generator,Medium,Reduced efficiency; voltage still generated
Motor,Bearing Failure,Static Electromagnet,High,Windings energized without rotation
Motor,Demagnetization,Weak Magnetic Source,Medium,Reed switch actuation at close range
Motor,Demagnetization,Magnetic Proximity Sensor,Medium,Detectable field for proximity switch
Solenoid,Coil Burnout (Open),Ferromagnetic Core,High,EMI absorber; field concentrator
Solenoid,Coil Burnout (Open),Mechanical Plunger,Medium,Manual actuation with spring return
Solenoid,Coil Burnout (Open),Mechanical Spacer / Mount,High,Form factor preserved
Solenoid,Plunger Stuck,Static Electromagnet,High,Field generation without motion
Solenoid,Plunger Stuck,Inductor,Medium,Coil with iron core; mH–H range
Solenoid,Plunger Stuck,Proximity Sensor,Medium,Field detectable by Hall/reed at distance
Solenoid,Weak Pull,Low-Force Actuator,Medium,Light-duty: paper feed; flag actuation
Solenoid,Weak Pull,Vibration Generator,Medium,PWM-driven incomplete actuation
Voltage Regulator,Increased Dropout,Temperature Sensor,High,2–10 mV/°C; -40 to +125°C; ±3°C
Voltage Regulator,Increased Dropout,Current Limiter,Medium,Dropout limits current; ±20%
Voltage Regulator,Increased Dropout,Reduced-Range Regulator,Medium,Still regulates with higher input headroom
Voltage Regulator,Output Voltage Drift,Non-Critical Voltage Source,Medium,Acceptable for tolerant loads
Voltage Regulator,Output Voltage Drift,Environmental Voltage Sensor,Medium,Drift correlates with temperature
Voltage Regulator,Short Circuit (I/O),Low-Value Resistor,Medium,0.05–1Ω; current sensing
Voltage Regulator,Short Circuit (I/O),Thermal Pad / Heat Spreader,Medium,TO-220/D2PAK thermal management
Voltage Regulator,Short Circuit (I/O),Jumper,High,Low-resistance connection
Voltage Regulator,Open Circuit,Mechanical Spacer,High,TO-220 heatsink mount preserved
Voltage Regulator,Open Circuit,Thermal Mass,Medium,Metal tab retains heat capacity
Power Diode,Short Circuit,High-Current Jumper,High,3–60A; original current rating
Power Diode,Short Circuit,Current Shunt Resistor,High,0.01–0.5Ω; millivolt drop
Power Diode,Short Circuit,Heat Spreader,Medium,TO-220/TO-247 thermal dissipation
Power Diode,Short Circuit,Temperature Sensor,Medium,Residual junction; 2–5 mV/°C
Power Diode,Open Circuit,High-Power Spacer,High,Heatsink mounting preserved
Power Diode,Open Circuit,Thermal Mass Element,Medium,Significant heat capacity
Power Diode,Increased Forward Voltage,Temperature Sensor,High,Enhanced 5–15 mV/°C sensitivity
Power Diode,Increased Forward Voltage,Voltage Drop Element,Medium,Fixed offset; crude reference
Power Diode,Increased Forward Voltage,Current Limiter (Crude),Low,Higher Vf limits series current
Power Transformer,Winding Open,Single-Winding Inductor,High,mH–H range with core
Power Transformer,Winding Open,EMI Common-Mode Choke,Medium,Core properties preserved
Power Transformer,Winding Open,Isolation Barrier,High,Galvanic isolation mechanical
Power Transformer,Winding Open,Core Material Harvesting,Medium,Laminated/ferrite reusable
Power Transformer,Shorted Turns,Heating Element,Medium,Resistive loss as heat
Power Transformer,Shorted Turns,Current Transformer,Medium,Shorted secondary = single-turn CT
Power Transformer,Core Damage,EMI Absorber,Medium,Damaged core absorbs RF
Power Transformer,Core Damage,Mechanical Mass / Damper,High,Vibration dampener; ballast
Power Transformer,Core Damage,Low-Frequency Inductor,Low,Reduced but non-zero inductance
Power Transformer,Insulation Breakdown,Low-Voltage Transformer,Medium,Reduced isolation for <50V
Power Transformer,Insulation Breakdown,Autotransformer,Medium,Series windings; no isolation needed
Power Transformer,Insulation Breakdown,Coupled Inductor,Medium,Magnetic coupling preserved
BJT_NPN,thermal_runaway,thermal_sensor_Vbe,Medium,Vbe drift correlates with junction temp
BJT_NPN,beta_loss,low_gain_switch,Medium,still useful for slow switching
BJT_NPN,heatsink_coupling,distributed_thermal_array,Medium,pair with neighbors for heat map
BJT_NPN_2N2222,thermal_runaway,thermal_sensor_Vbe,Medium,Vbe drift correlates with junction temp
BJT_NPN_2N2222,beta_loss,low_gain_switch,Medium,still useful for slow switching
electrolytic_cap,ESR_drift,RC_filter_degraded,Medium,higher ESR widens corner frequency
electrolytic_cap,ESR_drift,noise_channel_source,Low,entropy from leakage and ESR jitter
electrolytic_cap_220uF_25V,ESR_aging,RC_filter_degraded,Medium,higher ESR widens corner frequency
electrolytic_cap_220uF_25V,ESR_aging,parallel_ceramic_compensation,Medium,ceramic in parallel restores bandwidth
ceramic_cap,short_circuit,fused_link_sacrificial,Low,one-shot protection only
silicon_diode,short_circuit,low_value_resistor,Medium,0.1-5 ohm characterize Vf
silicon_diode,open_circuit,thermal_sensor_leakage,Medium,leakage current ~ temperature
zener_diode,voltage_drift,temperature_sensor_calibrated,High,well-documented temp coefficient
power_MOSFET,gate_short,heater_element,Medium,Rds_on drives thermal_fallback channel
power_MOSFET,Rds_on_increase,current_limiter,Medium,degraded but useful as soft limiter
connector,corrosion,mechanical_only_bond,Low,structural use only
connector,oxidation,degraded_ground_indicator,Low,reports presence of contact issue
relay,contact_welding,permanent_jumper,Medium,welded contact = always-on link
relay,coil_failure,inductor_for_LC_tank,Medium,coil still works as inductor
PCB_assembly,vibration_fatigue,structural_template,Low,traces unusable; mechanical only
SAC305_solder,fatigue,joint_resistance_telemetry,Medium,monitor R-drift for early warning
solder_joints,fatigue,conductive_paint_repair,Low,emergency continuity only
signal_trace,real_drift,backup_signal_channel,High,reroute if backup trace exists
signal_trace,real_drift,calibration_offset_target,Medium,host can subtract measured drift
logic_CMOS,undervoltage,leakage_path_indicator,Low,measurable Ileak signals brownout
analog_opamp,undervoltage,voltage_divider_passive,Low,uses input bias network only
sensor_I2C,undervoltage,bus_pullup_terminator,Low,bus benefit even if sensor dead
